kind,name,classification,availability,evidence_level,confidence,identifier_or_format,inputs_defaults,success_behavior,failure_behavior,dependencies_platform,source_file,source_symbol,source_line,test_evidence,sim_status,parity_gap,feature_id
model family,Kandinsky5,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'kandinsky5'},"bases=supported_models_base.BASE; latent_format=latent_formats.HunyuanVideo; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Kandinsky5,1971,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Kandinsky5.,COMFY-MODEL-0099
model family,Kandinsky5Image,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'kandinsky5', 'model_dim': 2560, 'visual_embed_dim': 64}",bases=Kandinsky5; latent_format=latent_formats.Flux; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Kandinsky5Image,2000,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Kandinsky5Image.,COMFY-MODEL-0100
model family,Krea2,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'krea2'},"bases=supported_models_base.BASE; latent_format=latent_formats.Wan21; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Krea2,1823,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Krea2.,COMFY-MODEL-0101
model family,LTXAV,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'ltxav'},bases=LTXV; latent_format=latent_formats.LTXAV; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,LTXAV,941,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for LTXAV.,COMFY-MODEL-0102
model family,LTXV,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'ltxv'},"bases=supported_models_base.BASE; latent_format=latent_formats.LTXV; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,LTXV,909,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for LTXV.,COMFY-MODEL-0103
model family,Lens,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'lens'},"bases=supported_models_base.BASE; latent_format=latent_formats.Flux2; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Lens,837,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Lens.,COMFY-MODEL-0104
model family,LongCatImage,registered model architecture detector/loader,conditional,test-backed,high,"{'image_model': 'flux', 'guidance_embed': False, 'vec_in_dim': None, 'context_in_dim': 3584, 'txt_ids_dims': [1, 2]}","bases=supported_models_base.BASE; latent_format=latent_formats.Flux; dtypes=[torch.bfloat16, torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,LongCatImage,2064,tests-unit/comfy_test/model_detection_test.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for LongCatImage.,COMFY-MODEL-0105
model family,LotusD,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'use_linear_in_transformer': True, 'use_temporal_attention': False, 'adm_in_channels': 4, 'in_channels': 4}",bases=SD20; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,LotusD,527,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for LotusD.,COMFY-MODEL-0106
model family,Lumina2,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'lumina2'},"bases=supported_models_base.BASE; latent_format=latent_formats.Flux; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Lumina2,1141,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Lumina2.,COMFY-MODEL-0107
model family,Omnigen2,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'omnigen2'},"bases=supported_models_base.BASE; latent_format=latent_formats.Flux; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Omnigen2,1729,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Omnigen2.,COMFY-MODEL-0108
model family,PiD,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'pid'},bases=PixelDiTT2I; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,PiD,1262,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for PiD.,COMFY-MODEL-0109
model family,PixArtAlpha,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'pixart_alpha'},bases=supported_models_base.BASE; latent_format=latent_formats.SD15; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,PixArtAlpha,657,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for PixArtAlpha.,COMFY-MODEL-0110
model family,PixArtSigma,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'pixart_sigma'},bases=PixArtAlpha; latent_format=latent_formats.SDXL; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,PixArtSigma,684,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for PixArtSigma.,COMFY-MODEL-0111
model family,PixelDiTT2I,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'pixeldit_t2i'},"bases=supported_models_base.BASE; latent_format=latent_formats.PixelDiTPixel; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,PixelDiTT2I,1210,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for PixelDiTT2I.,COMFY-MODEL-0112
model family,QwenImage,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'qwen_image'},"bases=supported_models_base.BASE; latent_format=latent_formats.Wan21; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,QwenImage,1851,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for QwenImage.,COMFY-MODEL-0113
model family,RT_DETR_v4,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'RT_DETR_v4'},"bases=supported_models_base.BASE; latent_format=inherited; dtypes=[torch.float16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,RT_DETR_v4,2096,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for RT_DETR_v4.,COMFY-MODEL-0114
model family,SAM3,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'SAM3'},"bases=supported_models_base.BASE; latent_format=inherited; dtypes=[torch.float16, torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SAM3,2158,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SAM3.,COMFY-MODEL-0115
model family,SAM31,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'SAM31'},bases=SAM3; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SAM31,2205,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SAM31.,COMFY-MODEL-0116
model family,SD15,registered model architecture detector/loader,conditional,code-inferred,high,"{'context_dim': 768, 'model_channels': 320, 'use_linear_in_transformer': False, 'adm_in_channels': None, 'use_temporal_attention': False}",bases=supported_models_base.BASE; latent_format=latent_formats.SD15; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SD15,44,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD15.,COMFY-MODEL-0117
model family,SD15_instructpix2pix,registered model architecture detector/loader,conditional,code-inferred,high,"{'context_dim': 768, 'model_channels': 320, 'use_linear_in_transformer': False, 'adm_in_channels': None, 'use_temporal_attention': False, 'in_channels': 8}",bases=SD15; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SD15_instructpix2pix,500,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD15_instructpix2pix.,COMFY-MODEL-0118
model family,SD20,registered model architecture detector/loader,conditional,code-inferred,high,"{'context_dim': 1024, 'model_channels': 320, 'use_linear_in_transformer': True, 'adm_in_channels': None, 'use_temporal_attention': False}",bases=supported_models_base.BASE; latent_format=latent_formats.SD15; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SD20,90,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD20.,COMFY-MODEL-0119
model family,SD21UnclipH,registered model architecture detector/loader,conditional,code-inferred,high,"{'context_dim': 1024, 'model_channels': 320, 'use_linear_in_transformer': True, 'adm_in_channels': 2048, 'use_temporal_attention': False}",bases=SD20; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SD21UnclipH,147,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD21UnclipH.,COMFY-MODEL-0120
model family,SD21UnclipL,registered model architecture detector/loader,conditional,code-inferred,high,"{'context_dim': 1024, 'model_channels': 320, 'use_linear_in_transformer': True, 'adm_in_channels': 1536, 'use_temporal_attention': False}",bases=SD20; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SD21UnclipL,134,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD21UnclipL.,COMFY-MODEL-0121
model family,SD3,registered model architecture detector/loader,conditional,code-inferred,high,"{'in_channels': 16, 'pos_embed_scaling_factor': None}",bases=supported_models_base.BASE; latent_format=latent_formats.SD3; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SD3,544,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD3.,COMFY-MODEL-0122
model family,SDXL,registered model architecture detector/loader,conditional,test-backed,high,"{'model_channels': 320, 'use_linear_in_transformer': True, 'transformer_depth': [0, 0, 2, 2, 10, 10], 'context_dim': 2048, 'adm_in_channels': 2816, 'use_temporal_attention': False}",bases=supported_models_base.BASE; latent_format=latent_formats.SDXL; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SDXL,197,tests/execution/test_preview_method.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SDXL.,COMFY-MODEL-0123
model family,SDXLRefiner,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 384, 'use_linear_in_transformer': True, 'context_dim': 1280, 'adm_in_channels': 2560, 'transformer_depth': [0, 0, 4, 4, 4, 4, 0, 0], 'use_temporal_attention': False}",bases=supported_models_base.BASE; latent_format=latent_formats.SDXL; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SDXLRefiner,159,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SDXLRefiner.,COMFY-MODEL-0124
model family,SDXL_instructpix2pix,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'use_linear_in_transformer': True, 'transformer_depth': [0, 0, 2, 2, 10, 10], 'context_dim': 2048, 'adm_in_channels': 2816, 'use_temporal_attention': False, 'in_channels': 8}",bases=SDXL; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SDXL_instructpix2pix,513,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SDXL_instructpix2pix.,COMFY-MODEL-0125
model family,SD_X4Upscaler,registered model architecture detector/loader,conditional,code-inferred,high,"{'context_dim': 1024, 'model_channels': 256, 'in_channels': 7, 'use_linear_in_transformer': True, 'adm_in_channels': None, 'use_temporal_attention': False}",bases=SD20; latent_format=latent_formats.SD_X4; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SD_X4Upscaler,406,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD_X4Upscaler.,COMFY-MODEL-0126
model family,SSD1B,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'use_linear_in_transformer': True, 'transformer_depth': [0, 0, 2, 2, 4, 4], 'context_dim': 2048, 'adm_in_channels': 2816, 'use_temporal_attention': False}",bases=SDXL; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SSD1B,269,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SSD1B.,COMFY-MODEL-0127
model family,SV3D_p,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'in_channels': 8, 'use_linear_in_transformer': True, 'transformer_depth': [1, 1, 1, 1, 1, 1, 0, 0], 'context_dim': 1024, 'adm_in_channels': 1280, 'use_temporal_attention': True, 'use_temporal_resblock': True}",bases=SV3D_u; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SV3D_p,358,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SV3D_p.,COMFY-MODEL-0128
model family,SV3D_u,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'in_channels': 8, 'use_linear_in_transformer': True, 'transformer_depth': [1, 1, 1, 1, 1, 1, 0, 0], 'context_dim': 1024, 'adm_in_channels': 256, 'use_temporal_attention': True, 'use_temporal_resblock': True}",bases=SVD_img2vid; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SV3D_u,340,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SV3D_u.,COMFY-MODEL-0129
model family,SVD_img2vid,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'in_channels': 8, 'use_linear_in_transformer': True, 'transformer_depth': [1, 1, 1, 1, 1, 1, 0, 0], 'context_dim': 1024, 'adm_in_channels': 768, 'use_temporal_attention': True, 'use_temporal_resblock': True}",bases=supported_models_base.BASE; latent_format=latent_formats.SD15; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,SVD_img2vid,309,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SVD_img2vid.,COMFY-MODEL-0130
model family,Segmind_Vega,registered model architecture detector/loader,conditional,code-inferred,high,"{'model_channels': 320, 'use_linear_in_transformer': True, 'transformer_depth': [0, 0, 1, 1, 2, 2], 'context_dim': 2048, 'adm_in_channels': 2816, 'use_temporal_attention': False}",bases=SDXL; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Segmind_Vega,279,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Segmind_Vega.,COMFY-MODEL-0131
model family,StableAudio,registered model architecture detector/loader,conditional,code-inferred,high,{'audio_model': 'dit1.0'},bases=supported_models_base.BASE; latent_format=latent_formats.StableAudio1; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,StableAudio,580,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for StableAudio.,COMFY-MODEL-0132
model family,StableAudio3,registered model architecture detector/loader,conditional,code-inferred,high,"{'audio_model': 'dit1.0', 'global_cond_shared_embed': True}",bases=StableAudio; latent_format=latent_formats.StableAudio3; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,StableAudio3,611,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for StableAudio3.,COMFY-MODEL-0133
model family,Stable_Cascade_B,registered model architecture detector/loader,conditional,code-inferred,high,{'stable_cascade_stage': 'b'},"bases=Stable_Cascade_C; latent_format=latent_formats.SC_B; dtypes=[torch.float16, torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Stable_Cascade_B,480,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Stable_Cascade_B.,COMFY-MODEL-0134
model family,Stable_Cascade_C,registered model architecture detector/loader,conditional,code-inferred,high,{'stable_cascade_stage': 'c'},"bases=supported_models_base.BASE; latent_format=latent_formats.SC_Prior; dtypes=[torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Stable_Cascade_C,434,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Stable_Cascade_C.,COMFY-MODEL-0135
model family,Stable_Zero123,registered model architecture detector/loader,conditional,code-inferred,high,"{'context_dim': 768, 'model_channels': 320, 'use_linear_in_transformer': False, 'adm_in_channels': None, 'use_temporal_attention': False, 'in_channels': 8}",bases=supported_models_base.BASE; latent_format=latent_formats.SD15; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,Stable_Zero123,375,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Stable_Zero123.,COMFY-MODEL-0136
model family,TripoSplat,registered model architecture detector/loader,conditional,code-inferred,high,{'image_model': 'triposplat'},"bases=supported_models_base.BASE; latent_format=latent_formats.TripoSplat; dtypes=[torch.float16, torch.bfloat16, torch.float32]","Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,TripoSplat,1555,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for TripoSplat.,COMFY-MODEL-0137
model family,WAN21_Camera,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'wan2.1', 'model_type': 'camera', 'in_dim': 32}",bases=WAN21_T2V; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,WAN21_Camera,1350,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for WAN21_Camera.,COMFY-MODEL-0138
model family,WAN21_CausalAR_T2V,registered model architecture detector/loader,conditional,code-inferred,high,"{'image_model': 'wan2.1', 'model_type': 't2v', 'causal_ar': True}",bases=WAN21_T2V; latent_format=inherited; dtypes=inherited,"Model detection matches state-dict/config keys, constructs the family-specific BaseModel, latent format, and text/vision encoder targets.","If no registered config matches, model detection/load fails or falls back only where explicitly requested by loader code.","Requires compatible checkpoint weights, PyTorch implementation, device memory, and family-specific encoder/VAE components.",comfy/supported_models.py,WAN21_CausalAR_T2V,1309,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for WAN21_CausalAR_T2V.,COMFY-MODEL-0139
