node_identifier,class_name,display_name,category,product,classification,availability,evidence_level,confidence,schema_api,schema_source,inputs,outputs,input_is_list,output_is_list,lazy_inputs,output_node,execution_function,validation,caching,change_detection,execution_blocking,error_behavior,source_file,source_symbol,source_line,test_evidence,registration_evidence,feature_id
LatentCutToBatch,LatentCutToBatch,LatentCutToBatch,model/latent/advanced,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LatentCutToBatch', search_aliases=['slice to batch', 'split latent', 'tile latent'], category='model/latent/advanced', inputs=[io.Latent.Input('samples'), io.Combo.Input('dim', options=['t', 'x', 'y']), io.Int.Input('slice_size', default=1, min=1, max=nodes.MAX_RESOLUTION, step=1)], outputs=[io.Latent.Output()])","io.Latent.Input:samples | io.Combo.Input:dim(options=['t', 'x', 'y']) | io.Int.Input:slice_size(default=1;min=1;max=nodes.MAX_RESOLUTION;step=1)",io.Latent.Output:,False,[false],False,False,LatentCutToBatch.execute (comfy_extras/nodes_latent.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_latent.py,LatentCutToBatch,217,,ComfyExtension.get_node_list,COMFY-NODE-0321
LatentFlip,LatentFlip,Flip Latent,model/latent/transform,ComfyUI,built-in node,active,code-inferred,high,V1,"nodes.py:LatentFlip.INPUT_TYPES @classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'flip_method': (['x-axis: vertically', 'y-axis: horizontally'],)}} | nodes.py:LatentFlip.RETURN_TYPES=('LATENT',) | nodes.py:LatentFlip.FUNCTION='flip'","@classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'flip_method': (['x-axis: vertically', 'y-axis: horizontally'],)}}","('LATENT',)",False,False,False,False,flip,executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,nodes.py,LatentFlip,1397,,NODE_CLASS_MAPPINGS,COMFY-NODE-0322
LatentFromBatch,LatentFromBatch,Get Latent From Batch,model/latent/batch,ComfyUI,built-in node,active,code-inferred,high,V1,"nodes.py:LatentFromBatch.INPUT_TYPES @classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'batch_index': ('INT', {'default': 0, 'min': -MAX_RESOLUTION, 'max': MAX_RESOLUTION}), 'length': ('INT', {'default': 1, 'min': 1, 'max': 64})}} | nodes.py:LatentFromBatch.RETURN_TYPES=('LATENT',) | nodes.py:LatentFromBatch.FUNCTION='frombatch'","@classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'batch_index': ('INT', {'default': 0, 'min': -MAX_RESOLUTION, 'max': MAX_RESOLUTION}), 'length': ('INT', {'default': 1, 'min': 1, 'max': 64})}}","('LATENT',)",False,False,False,False,frombatch,executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,nodes.py,LatentFromBatch,1252,,NODE_CLASS_MAPPINGS,COMFY-NODE-0323
LatentInterpolate,LatentInterpolate,LatentInterpolate,model/latent/advanced,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LatentInterpolate', search_aliases=['blend latent', 'mix latent', 'lerp latent', 'transition'], category='model/latent/advanced', inputs=[io.Latent.Input('samples1'), io.Latent.Input('samples2'), io.Float.Input('ratio', default=1.0, min=0.0, max=1.0, step=0.01)], outputs=[io.Latent.Output()])",io.Latent.Input:samples1 | io.Latent.Input:samples2 | io.Float.Input:ratio(default=1.0;min=0.0;max=1.0;step=0.01),io.Latent.Output:,False,[false],False,False,LatentInterpolate.execute (comfy_extras/nodes_latent.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_latent.py,LatentInterpolate,97,,ComfyExtension.get_node_list,COMFY-NODE-0324
LatentMultiply,LatentMultiply,LatentMultiply,model/latent/advanced,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LatentMultiply', search_aliases=['scale latent', 'amplify latent', 'latent gain'], category='model/latent/advanced', inputs=[io.Latent.Input('samples'), io.Float.Input('multiplier', default=1.0, min=-10.0, max=10.0, step=0.01)], outputs=[io.Latent.Output()])",io.Latent.Input:samples | io.Float.Input:multiplier(default=1.0;min=-10.0;max=10.0;step=0.01),io.Latent.Output:,False,[false],False,False,LatentMultiply.execute (comfy_extras/nodes_latent.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_latent.py,LatentMultiply,73,,ComfyExtension.get_node_list,COMFY-NODE-0325
LatentOperationSharpen,LatentOperationSharpen,LatentOperationSharpen,model/latent/advanced/operations,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LatentOperationSharpen', category='model/latent/advanced/operations', is_experimental=True, inputs=[io.Int.Input('sharpen_radius', default=9, min=1, max=31, step=1, advanced=True), io.Float.Input('sigma', default=1.0, min=0.1, max=10.0, step=0.1, advanced=True), io.Float.Input('alpha', default=0.1, min=0.0, max=5.0, step=0.01, advanced=True)], outputs=[io.LatentOperation.Output()])",io.Int.Input:sharpen_radius(default=9;min=1;max=31;step=1;advanced=True) | io.Float.Input:sigma(default=1.0;min=0.1;max=10.0;step=0.1;advanced=True) | io.Float.Input:alpha(default=0.1;min=0.0;max=5.0;step=0.01;advanced=True),io.LatentOperation.Output:,False,[false],False,False,LatentOperationSharpen.execute (comfy_extras/nodes_latent.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_latent.py,LatentOperationSharpen,409,,ComfyExtension.get_node_list,COMFY-NODE-0326
LatentOperationTonemapReinhard,LatentOperationTonemapReinhard,LatentOperationTonemapReinhard,model/latent/advanced/operations,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LatentOperationTonemapReinhard', search_aliases=['hdr latent'], category='model/latent/advanced/operations', is_experimental=True, inputs=[io.Float.Input('multiplier', default=1.0, min=0.0, max=100.0, step=0.01)], outputs=[io.LatentOperation.Output()])",io.Float.Input:multiplier(default=1.0;min=0.0;max=100.0;step=0.01),io.LatentOperation.Output:,False,[false],False,False,LatentOperationTonemapReinhard.execute (comfy_extras/nodes_latent.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_latent.py,LatentOperationTonemapReinhard,373,,ComfyExtension.get_node_list,COMFY-NODE-0327
LatentRotate,LatentRotate,Rotate Latent,model/latent/transform,ComfyUI,built-in node,active,code-inferred,high,V1,"nodes.py:LatentRotate.INPUT_TYPES @classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'rotation': (['none', '90 degrees', '180 degrees', '270 degrees'],)}} | nodes.py:LatentRotate.RETURN_TYPES=('LATENT',) | nodes.py:LatentRotate.FUNCTION='rotate'","@classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'rotation': (['none', '90 degrees', '180 degrees', '270 degrees'],)}}","('LATENT',)",False,False,False,False,rotate,executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,nodes.py,LatentRotate,1373,,NODE_CLASS_MAPPINGS,COMFY-NODE-0328
LatentSubtract,LatentSubtract,LatentSubtract,model/latent/advanced,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LatentSubtract', search_aliases=['difference latent', 'remove features'], category='model/latent/advanced', inputs=[io.Latent.Input('samples1'), io.Latent.Input('samples2')], outputs=[io.Latent.Output()])",io.Latent.Input:samples1 | io.Latent.Input:samples2,io.Latent.Output:,False,[false],False,False,LatentSubtract.execute (comfy_extras/nodes_latent.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_latent.py,LatentSubtract,46,,ComfyExtension.get_node_list,COMFY-NODE-0329
LatentUpscale,LatentUpscale,Upscale Latent,model/latent,ComfyUI,built-in node,active,code-inferred,high,V1,"nodes.py:LatentUpscale.INPUT_TYPES @classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'upscale_method': (s.upscale_methods,), 'width': ('INT', {'default': 512, 'min': 0, 'max': MAX_RESOLUTION, 'step': 8}), 'height': ('INT', {'default': 512, 'min': 0, 'max': MAX_RESOLUTION, 'step': 8}), 'crop': (s.crop_methods,)}} | nodes.py:LatentUpscale.RETURN_TYPES=('LATENT',) | nodes.py:LatentUpscale.FUNCTION='upscale'","@classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'upscale_method': (s.upscale_methods,), 'width': ('INT', {'default': 512, 'min': 0, 'max': MAX_RESOLUTION, 'step': 8}), 'height': ('INT', {'default': 512, 'min': 0, 'max': MAX_RESOLUTION, 'step': 8}), 'crop': (s.crop_methods,)}}","('LATENT',)",False,False,False,False,upscale,executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,nodes.py,LatentUpscale,1316,,NODE_CLASS_MAPPINGS,COMFY-NODE-0330
LatentUpscaleBy,LatentUpscaleBy,Upscale Latent By,model/latent,ComfyUI,built-in node,active,code-inferred,high,V1,"nodes.py:LatentUpscaleBy.INPUT_TYPES @classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'upscale_method': (s.upscale_methods,), 'scale_by': ('FLOAT', {'default': 1.5, 'min': 0.01, 'max': 8.0, 'step': 0.01})}} | nodes.py:LatentUpscaleBy.RETURN_TYPES=('LATENT',) | nodes.py:LatentUpscaleBy.FUNCTION='upscale'","@classmethod def INPUT_TYPES(s): return {'required': {'samples': ('LATENT',), 'upscale_method': (s.upscale_methods,), 'scale_by': ('FLOAT', {'default': 1.5, 'min': 0.01, 'max': 8.0, 'step': 0.01})}}","('LATENT',)",False,False,False,False,upscale,executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,nodes.py,LatentUpscaleBy,1352,,NODE_CLASS_MAPPINGS,COMFY-NODE-0331
LatentUpscaleModelLoader,LatentUpscaleModelLoader,Load Latent Upscale Model,model/loaders,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LatentUpscaleModelLoader', display_name='Load Latent Upscale Model', category='model/loaders', inputs=[io.Combo.Input('model_name', options=folder_paths.get_filename_list('latent_upscale_models'))], outputs=[io.LatentUpscaleModel.Output()])",io.Combo.Input:model_name(options=folder_paths.get_filename_list('latent_upscale_models')),io.LatentUpscaleModel.Output:,False,[false],False,False,LatentUpscaleModelLoader.execute (comfy_extras/nodes_hunyuan.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_hunyuan.py,LatentUpscaleModelLoader,177,,ComfyExtension.get_node_list,COMFY-NODE-0332
LazyCache,LazyCacheNode,LazyCache,advanced/debug,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls) -> io.Schema: return io.Schema(node_id='LazyCache', display_name='LazyCache', description=""A homebrew version of EasyCache - even 'easier' version of EasyCache to implement. Overall works worse than EasyCache, but better in some rare cases AND universal compatibility with everything in ComfyUI."", category='advanced/debug', is_experimental=True, inputs=[io.Model.Input('model', tooltip='The model to add LazyCache to.'), io.Float.Input('reuse_threshold', min=0.0, default=0.2, max=3.0, step=0.01, tooltip='The threshold for reusing cached steps.', advanced=True), io.Float.Input('start_percent', min=0.0, default=0.15, max=1.0, step=0.01, tooltip='The relative sampling step to begin use of LazyCache.', advanced=True), io.Float.Input('end_percent', min=0.0, default=0.95, max=1.0, step=0.01, tooltip='The relative sampling step to end use of LazyCache.', advanced=True), io.Boolean.Input('verbose', default=False, tooltip='Whether to log verbose information.', advanced=True)], outputs=[io.Model.Output(tooltip='The model with LazyCache.')])",io.Model.Input:model | io.Float.Input:reuse_threshold(min=0.0;default=0.2;max=3.0;step=0.01;advanced=True) | io.Float.Input:start_percent(min=0.0;default=0.15;max=1.0;step=0.01;advanced=True) | io.Float.Input:end_percent(min=0.0;default=0.95;max=1.0;step=0.01;advanced=True) | io.Boolean.Input:verbose(default=False;advanced=True),io.Model.Output:(tooltip='The model with LazyCache.'),False,[false],False,False,LazyCacheNode.execute (comfy_extras/nodes_easycache.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_easycache.py,LazyCacheNode,492,,ComfyExtension.get_node_list,COMFY-NODE-0333
Load3D,Load3D,Load 3D & Animation,3d,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): input_dir = os.path.join(folder_paths.get_input_directory(), '3d') os.makedirs(input_dir, exist_ok=True) input_path = Path(input_dir) base_path = Path(folder_paths.get_input_directory()) files = [normalize_path(str(file_path.relative_to(base_path))) for file_path in input_path.rglob('*') if file_path.suffix.lower() in {'.gltf', '.glb', '.obj', '.fbx', '.stl', '.spz', '.splat', '.ply', '.ksplat'}] return IO.Schema(node_id='Load3D', display_name='Load 3D & Animation', category='3d', essentials_category='Basics', is_experimental=True, inputs=[IO.Combo.Input('model_file', options=['none'] + sorted(files), upload=IO.UploadType.model), IO.Load3D.Input('image'), IO.Int.Input('width', default=1024, min=1, max=4096, step=1), IO.Int.Input('height', default=1024, min=1, max=4096, step=1)], outputs=[IO.Image.Output(display_name='image'), IO.Mask.Output(display_name='mask'), IO.String.Output(display_name='mesh_path'), IO.Image.Output(display_name='normal'), IO.Load3DCamera.Output(display_name='camera_info'), IO.Video.Output(display_name='recording_video'), IO.File3DAny.Output(display_name='model_3d'), IO.Load3DModelInfo.Output(display_name='model_3d_info')])",IO.Combo.Input:model_file(options=['none'] + sorted(files)) | IO.Load3D.Input:image | IO.Int.Input:width(default=1024;min=1;max=4096;step=1) | IO.Int.Input:height(default=1024;min=1;max=4096;step=1),IO.Image.Output:(display_name='image') | IO.Mask.Output:(display_name='mask') | IO.String.Output:(display_name='mesh_path') | IO.Image.Output:(display_name='normal') | IO.Load3DCamera.Output:(display_name='camera_info') | IO.Video.Output:(display_name='recording_video') | IO.File3DAny.Output:(display_name='model_3d') | IO.Load3DModelInfo.Output:(display_name='model_3d_info'),False,"[false, false, false, false, false, false, false, false]",False,False,Load3D.execute (comfy_extras/nodes_load_3d.py),custom validator plus executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_load_3d.py,Load3D,15,,ComfyExtension.get_node_list,COMFY-NODE-0334
Load3DAdvanced,Load3DAdvanced,Load 3D (Advanced),3d,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): input_dir = os.path.join(folder_paths.get_input_directory(), '3d') os.makedirs(input_dir, exist_ok=True) input_path = Path(input_dir) base_path = Path(folder_paths.get_input_directory()) files = [normalize_path(str(file_path.relative_to(base_path))) for file_path in input_path.rglob('*') if file_path.suffix.lower() in MESH_EXTENSIONS] return IO.Schema(node_id='Load3DAdvanced', display_name='Load 3D (Advanced)', category='3d', search_aliases=['load mesh', 'load gltf', 'load glb', 'load obj', 'load fbx', 'load stl'], is_experimental=True, inputs=[IO.Combo.Input('model_file', options=['none'] + sorted(files), upload=IO.UploadType.model), IO.Load3D.Input('viewport_state'), IO.Int.Input('width', default=1024, min=1, max=4096, step=1), IO.Int.Input('height', default=1024, min=1, max=4096, step=1)], outputs=[IO.File3DAny.Output(display_name='model_3d'), IO.Load3DModelInfo.Output(display_name='model_3d_info'), IO.Load3DCamera.Output(display_name='camera_info'), IO.Int.Output(display_name='width'), IO.Int.Output(display_name='height')])",IO.Combo.Input:model_file(options=['none'] + sorted(files)) | IO.Load3D.Input:viewport_state | IO.Int.Input:width(default=1024;min=1;max=4096;step=1) | IO.Int.Input:height(default=1024;min=1;max=4096;step=1),IO.File3DAny.Output:(display_name='model_3d') | IO.Load3DModelInfo.Output:(display_name='model_3d_info') | IO.Load3DCamera.Output:(display_name='camera_info') | IO.Int.Output:(display_name='width') | IO.Int.Output:(display_name='height'),False,"[false, false, false, false, false]",False,False,Load3DAdvanced.execute (comfy_extras/nodes_load_3d.py),custom validator plus executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_load_3d.py,Load3DAdvanced,323,,ComfyExtension.get_node_list,COMFY-NODE-0335
LoadAudio,LoadAudio,Load Audio,audio,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): input_dir = folder_paths.get_input_directory() os.makedirs(input_dir, exist_ok=True) files = folder_paths.filter_files_content_types(os.listdir(input_dir), ['audio', 'video']) return IO.Schema(node_id='LoadAudio', search_aliases=['import audio', 'open audio', 'audio file'], display_name='Load Audio', category='audio', essentials_category='Audio', inputs=[IO.Combo.Input('audio', upload=IO.UploadType.audio, options=sorted(files))], outputs=[IO.Audio.Output()])",IO.Combo.Input:audio(options=sorted(files)),IO.Audio.Output:,False,[false],False,False,LoadAudio.execute (comfy_extras/nodes_audio.py),custom validator plus executor schema/type/range validation,custom IS_CHANGED/fingerprint_inputs plus executor cache policy,custom change detection,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_audio.py,LoadAudio,354,,ComfyExtension.get_node_list,COMFY-NODE-0336
LoadBackgroundRemovalModel,LoadBackgroundRemovalModel,Load Background Removal Model,model/loaders,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): files = folder_paths.get_filename_list('background_removal') return IO.Schema(node_id='LoadBackgroundRemovalModel', display_name='Load Background Removal Model', category='model/loaders', inputs=[IO.Combo.Input('bg_removal_name', options=sorted(files), tooltip='The model used to remove backgrounds from images')], outputs=[IO.BackgroundRemoval.Output('bg_model')])",IO.Combo.Input:bg_removal_name(options=sorted(files)),IO.BackgroundRemoval.Output:bg_model,False,[false],False,False,LoadBackgroundRemovalModel.execute (comfy_extras/nodes_bg_removal.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,class raises: RuntimeError('ERROR: background model file is invalid and does not contain a valid background removal model.'); uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_bg_removal.py,LoadBackgroundRemovalModel,7,,ComfyExtension.get_node_list,COMFY-NODE-0337
LoadDA3Model,LoadDA3Model,Load Depth Anything 3,model/loaders,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LoadDA3Model', display_name='Load Depth Anything 3', category='model/loaders', inputs=[io.Combo.Input('model_name', options=folder_paths.get_filename_list('geometry_estimation')), io.Combo.Input('weight_dtype', options=['default', 'fp16', 'bf16', 'fp32'], default='default')], outputs=[DA3ModelType.Output()])","io.Combo.Input:model_name(options=folder_paths.get_filename_list('geometry_estimation')) | io.Combo.Input:weight_dtype(options=['default', 'fp16', 'bf16', 'fp32'];default='default')",DA3ModelType.Output:,False,[false],False,False,LoadDA3Model.execute (comfy_extras/nodes_depth_anything_3.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_depth_anything_3.py,LoadDA3Model,132,,ComfyExtension.get_node_list,COMFY-NODE-0338
LoadImage,LoadImage,Load Image,image,ComfyUI,built-in node,active,code-inferred,high,V1,"nodes.py:LoadImage.INPUT_TYPES @classmethod def INPUT_TYPES(s): input_dir = folder_paths.get_input_directory() files = [f for f in os.listdir(input_dir) if os.path.isfile(os.path.join(input_dir, f))] files = folder_paths.filter_files_content_types(files, ['image']) return {'required': {'image': (sorted(files), {'image_upload': True})}} | nodes.py:LoadImage.RETURN_TYPES=('IMAGE', 'MASK') | nodes.py:LoadImage.FUNCTION='load_image'","@classmethod def INPUT_TYPES(s): input_dir = folder_paths.get_input_directory() files = [f for f in os.listdir(input_dir) if os.path.isfile(os.path.join(input_dir, f))] files = folder_paths.filter_files_content_types(files, ['image']) return {'required': {'image': (sorted(files), {'image_upload': True})}}","('IMAGE', 'MASK')",False,False,False,False,load_image,custom validator plus executor schema/type/range validation,custom IS_CHANGED/fingerprint_inputs plus executor cache policy,custom change detection,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,nodes.py,LoadImage,1720,,NODE_CLASS_MAPPINGS,COMFY-NODE-0339
LoadImageDataSetFromFolder,LoadImageDataSetFromFolderNode,Load Image (from Folder),image,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LoadImageDataSetFromFolder', search_aliases=['load folder', 'load from folder', 'load dataset', 'load images', 'import dataset'], display_name='Load Image (from Folder)', category='image', description='Load a dataset of images from a specified folder and return a list of images. Supported formats: PNG, JPG, JPEG, WEBP.', is_experimental=True, inputs=[io.Combo.Input('folder', options=folder_paths.get_input_subfolders(), tooltip='The folder to load images from.')], outputs=[io.Image.Output(display_name='images', is_output_list=True, tooltip='List of loaded images')])",io.Combo.Input:folder(options=folder_paths.get_input_subfolders()),io.Image.Output:(display_name='images';is_output_list=True;tooltip='List of loaded images'),False,[true],False,False,LoadImageDataSetFromFolderNode.execute (comfy_extras/nodes_dataset.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_dataset.py,LoadImageDataSetFromFolderNode,45,,ComfyExtension.get_node_list,COMFY-NODE-0340
LoadImageMask,LoadImageMask,Load Image (as Mask),image,ComfyUI,built-in node,active,code-inferred,high,V1,"nodes.py:LoadImageMask.INPUT_TYPES @classmethod def INPUT_TYPES(s): types = super().INPUT_TYPES() return {'required': {**types['required'], 'channel': (s._color_channels,)}} | nodes.py:LoadImageMask.RETURN_TYPES=('MASK',) | nodes.py:LoadImageMask.FUNCTION='load_image_mask'","@classmethod def INPUT_TYPES(s): types = super().INPUT_TYPES() return {'required': {**types['required'], 'channel': (s._color_channels,)}}","('MASK',)",False,False,False,False,load_image_mask,custom validator plus executor schema/type/range validation,custom IS_CHANGED/fingerprint_inputs plus executor cache policy,custom change detection,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,nodes.py,LoadImageMask,1797,,NODE_CLASS_MAPPINGS,COMFY-NODE-0341
LoadImageOutput,LoadImageOutput,Load Image (from Outputs),image,ComfyUI,built-in node,experimental,code-inferred,high,V1,"nodes.py:LoadImageOutput.INPUT_TYPES @classmethod def INPUT_TYPES(s): return {'required': {'image': ('COMBO', {'image_upload': True, 'image_folder': 'output', 'remote': {'route': '/internal/files/output', 'refresh_button': True, 'control_after_refresh': 'first'}})}} | nodes.py:LoadImage.RETURN_TYPES=('IMAGE', 'MASK') | nodes.py:LoadImageOutput.FUNCTION='load_image'","@classmethod def INPUT_TYPES(s): return {'required': {'image': ('COMBO', {'image_upload': True, 'image_folder': 'output', 'remote': {'route': '/internal/files/output', 'refresh_button': True, 'control_after_refresh': 'first'}})}}","('IMAGE', 'MASK')",False,False,False,False,load_image,custom validator plus executor schema/type/range validation,custom IS_CHANGED/fingerprint_inputs plus executor cache policy,custom change detection,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,nodes.py,LoadImageOutput,1841,,NODE_CLASS_MAPPINGS,COMFY-NODE-0342
LoadImageTextDataSetFromFolder,LoadImageTextDataSetFromFolderNode,Load Image-Text (from Folder),image,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='LoadImageTextDataSetFromFolder', search_aliases=['load folder', 'load from folder', 'load dataset', 'load images', 'import dataset'], display_name='Load Image-Text (from Folder)', category='image', description='Load a dataset of pairs of images and text captions from a specified folder and return them as a list. Supported formats: PNG, JPG, JPEG, WEBP.', is_experimental=True, inputs=[io.Combo.Input('folder', options=folder_paths.get_input_subfolders(), tooltip='The folder to load images and text captions from.')], outputs=[io.Image.Output(display_name='images', is_output_list=True, tooltip='List of loaded images'), io.String.Output(display_name='texts', is_output_list=True, tooltip='List of text captions')])",io.Combo.Input:folder(options=folder_paths.get_input_subfolders()),io.Image.Output:(display_name='images';is_output_list=True;tooltip='List of loaded images') | io.String.Output:(display_name='texts';is_output_list=True;tooltip='List of text captions'),False,"[true, true]",False,False,LoadImageTextDataSetFromFolderNode.execute (comfy_extras/nodes_dataset.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_dataset.py,LoadImageTextDataSetFromFolderNode,84,,ComfyExtension.get_node_list,COMFY-NODE-0343
